Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
Go Fashion (India) Ltd.,Retail trading,INE0BJS01011,GOCOLORS,31-12-2022,179.43,176.74,173.45,7.1,22.59,8.4,24.31,24.31,32.71,55.3,62.4,39.81,4.5,456.0,,1037.75,54008984,5604.782315,11.814701,87.835485,2739,5762.622315,131.24,1.296843,-0.07458873961639617
Godawari Power & Ispat Ltd.,Other ferrous metal products,INE177H01039,GPIL,31-12-2022,1411.7,1378.12,1303.61,5.94,31.33,46.53,126.41,126.41,172.94,204.27,210.21,178.88,9.26,235.6,,399.1,140944988,5625.114471,61.437445,6.496038,2133,5758.524471,35.94,1.763371,-0.25482541344281856
Godfrey Phillips India Ltd.,Tobacco products,INE260B01028,GODFRYPHLP,31-12-2022,995.73,917.29,843.18,6.59,37.98,54.76,182.14,182.14,236.9,274.88,281.47,208.58,35.03,2815.7,,1923.3,51993920,9999.990634,104.002545,18.492817,1182,8697.600634,24.16,1.000921,-0.19083888618022943
Godrej Agrovet Ltd.,Vegetable oils & products,INE850D01014,GODREJAGRO,31-12-2022,1839.26,1740.51,1649.19,15.71,25.29,32.94,136.17,136.17,169.11,194.4,210.11,114.01,7.09,570.55,,450.25,192160890,8652.044072,14.787088,30.448862,656,7407.584072,51.57,0.850694,-0.1258329722967099
Godrej Consumer Products Ltd.,Personal & home care products,INE102D01028,GODREJCP,31-12-2022,2050.54,2009.8,1453.0,0.72,25.02,92.45,458.46,458.46,550.91,575.93,576.65,560.45,4.48,1186.2,,912.75,1022695318,93346.51515,14.416708,63.311956,3501,92245.62515,60.31,0.848885,0.16766831650016678
Godrej Industries Ltd.,Organic chemicals,INE233A01035,GODREJIND,31-12-2022,1164.06,1151.15,1085.6,125.47,20.34,13.14,78.37,78.37,78.37,98.71,224.18,203.84,2.33,993.05,,429.25,336638257,14450.197182,4.443642,96.598684,578,-25720.522818,41.8,1.023838,-0.1787325857282407
Godrej Properties Ltd.,Other construction & allied activities,INE484J01027,GODREJPROP,31-12-2022,427.6,178.46,2046.59,60.97,5.1,55.97,129.75,129.75,185.72,190.82,251.79,246.69,4.67,2044.5,,1181.25,278020964,32841.226373,22.953305,51.463177,1237,36699.946373,35.94,1.218368,-0.22243749499819718
Gokaldas Exports Ltd.,Readymade garments,INE887G01027,GOKEX,31-12-2022,530.93,518.47,457.23,5.86,18.05,7.18,42.25,42.25,49.43,67.48,73.34,55.29,6.97,795.3,,364.6,60577994,2208.673661,30.070326,12.12491,612,2217.823661,42.45,1.316033,-0.28546545647070276
Gokul Agro Resources Ltd.,Vegetable oils & products,INE314T01033,GOKULAGRO,31-12-2022,2551.15,2547.51,2381.16,23.8,7.1,9.89,29.19,29.19,39.08,46.18,69.98,62.88,2.02,189.6,,123.0,143072347,1759.789868,8.714472,14.114452,391,1957.309868,51.57,1.522356,-0.1258329722967099
Goldiam International Ltd.,Gems & jewellery,INE025B01025,GOLDIAM,31-12-2022,78.89,73.33,64.86,6.715,0.54,4.13,13.89,13.89,18.02,18.56,18.56,18.02,1.28,370.2,,164.55,108974615,1793.17729,5.120459,32.135794,1850,1749.71729,72.03,1.192427,-0.24549709367323447
Goodluck India Ltd.,Steel pipes & tubes,INE127I01024,GOODLUCK,31-12-2022,711.09,705.94,724.54,17.04,8.28,9.65,18.4,18.4,28.05,36.33,53.37,45.09,7.02,1050.05,,450.8,27256250,1228.71175,30.352671,14.85207,160,1819.04175,31.67,1.712316,-0.2615999515821926
Goodyear India Ltd.,Tyres & tubes,INE533A01012,GOODYEAR,31-12-2022,692.96,689.09,663.45,0.86,13.82,8.65,24.41,24.41,33.06,46.88,47.74,33.92,10.58,832.6,,1080.4,23066507,2492.105416,44.90927,24.057394,61,2118.825416,47.38,0.955558,-0.16493441179989252
